droplet,물방울; 작은 방울
jelly-like,젤리 같은
split,나누다
join,합치다
heal,회복하다
shape-shifting,형태를 바꾸는
surgeon,외과의사
living cells,살아있는 세포
stretch,늘어나다
crawl,기어가다
divide,분열하다
stiff,뻣뻣한; 단단한
Teflon powder,테플론 가루
shell,껍질
armor,갑옷
surface area,표면적
liquid marbles,액체 구슬
sound waves,음파
merge,합치다
fuse,융합하다
neutralize,중화하다
toxin,독소
antidote,해독제
patrol,순찰하다
breakthrough,획기적 발견
grain [piece;particle],낟알
ledge,선반
fine,미세한
neat,정돈된;깔끔한
tray,쟁반;틀
sphere,구체
bead,구슬
tumble,굴리다
steer,조종하다
pillars,기둥
orb,구
tissue,조직
ruin,망치다
tumor,종양
sparing,아끼며 사용하는
inspector,검사관


