BCI,뇌-컴퓨터 인터페이스
implant,이식하다
invasive,침습적
vet;veterinarian,수의사
debilitating,쇠약하게 하는
result in,야기하다;~를 낳다
result from,기인하다;인하다
charge,(앞으로) 돌진하다
sew,꿰매다;봉합하다
symbiosis,공생
trigger,촉발시키다
suppress,억제하다
refine,정제하다;개선하다
paralysis,마비
paralyze,마비시키다
electric impulse,전기 충격
propagation,전도
approval,승인
spike,극파
skeptical;sceptical,회의적인
bowel,장
vowel,모음
consonant,자음
bladder,방광
depression,우울증
dementia,치매
enormous,(정상을 넘어설 정도로) 거대한;엄청난
barrier,장벽
mainstream,주류
meticulous,꼼꼼한;세심한
cutting-edge,최첨단
existential,존재론적인
